Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
S01_T01_Open_Home,25,381,341,466,555,750,319,750,0.000%,.08440,0.92,0.06
S01_T02_Open_Tables,25,326,321,349,369,428,289,428,0.000%,.08404,0.83,0.07
S01_T03_Open_Random_Table_Product,25,275,278,291,300,310,246,310,0.000%,.08405,0.80,0.08
Add Product to Cart,37,256,233,370,414,427,159,427,0.000%,.12394,0.09,0.12
Debug Sampler,25,1,1,1,2,12,0,12,0.000%,.08381,0.11,0.00
S01_T05_Open_Chairs,12,318,313,328,328,383,295,383,0.000%,.05236,0.48,0.05
S01_T06_Open_Random_Chair_Product,12,282,269,292,292,483,179,483,8.333%,.05238,0.61,0.05
S01_T08_Open_Cart,7,213,208,246,253,253,184,253,0.000%,.03493,0.30,0.03
S01_T09_Open_Checkout,7,370,365,387,446,446,331,446,0.000%,.03337,0.29,0.07
S01_T10_Add_Checkout_Data,7,385,389,410,450,450,339,450,0.000%,.03332,0.29,0.18
S01_T11_Confirm_Order,7,169,167,172,176,176,165,176,0.000%,.03336,0.26,0.03
TOTAL,189,260,286,377,427,483,0,750,0.529%,.59622,4.11,0.59
